era,validator,commission
1038,12YP2b7L7gcHabZqE7vJMyF9eSZA9W68gnvb8BzTYx4MUxRo,2.5
1038,15JGaHWAu1nAEtMMjKZSeu8VsYoTBMmoJq6uwxsDBqmwytSN,3.0
1038,1Ntvj8hmfWFiemKLCW7uh4WxJ31UvirWc27A3m4aYocoCvP,100.0
1038,1zugcacan4nrJ3HPBmiBgEn2XvRMbehqvmzSQXT3uLBDkh3,10.0
1038,168FJ5cEwfoLnsBJw6HzGLN6AwMMn24rrXxqpqiSFSPCnCKR,100.0
1038,1bAVKRsNUbq1Qmvj7Cemkncjo17WgyWAusCFZQdUfeHSTYj,40.0
1038,15a9RMz1YXunLeCyphaETaPtj7caH7Pc8DVymuQKEiW6DLf4,100.0
1038,12doSHUJN1P6HL9zj96Bh2ZwVBXH7NcCi78caVtte8aQWGHz,10.0
1038,13S541dQ5NXFCxSBqFUFghkCfUU6LsZUVem7z2tfvsJwWFys,5.0
1038,168bhPTpsgByfKqM2pgUfZ2wPxQQpgTwxsA9iTV7vAN4wQiU,100.0
1038,12wtfs4UfodYT1Y6y8NQsQaduLSJbhz7oaNt1F6gTLFHD1y5,8.0
1038,1dGsgLgFez7gt5WjX2FYzNCJtaCjGG6W9dA42d9cHngDYGg,1.0
1038,12BxCyEpjmi3fz582Vs99y5o4khR9oRMQXhM9LUcAj4mKaYo,100.0
1038,13mK8AssyPekT5cFuYQ7ijKNXcjHPq8Gnx6TxF5eFCAwoLQ,3.0
1038,15qomv8YFTpHrbiJKicP4oXfxRDyG4XEHZH7jdfJScnw2xnV,2.5
1038,12713bbq45c66CN9AD7yusSXWE1kY91DcMpjVcB2rXqZKy2w,5.0
1038,13RENAu9cpMpxp3EYzWFGpZXgvMZGDrnconYugNdynQz1sDQ,3.0
1038,1A2ATy1FEu5yQ9ZzghPLsRckPQ7XLmq5MJQYcTvGnxGvCho,8.0
1038,15tu47DU6d75PtXdBBGLbKCAPKAgt7s2AEFw9etRH3eNyKLy,100.0
1038,13ougYD2SRkn88L14XiYCJc3mL7AzWoAMVdn1FwLumV49LjU,100.0
1038,15omhU2Gi3ounztEznJ9Bj49dvoPhSi9wN1M7uoniTt9F72d,100.0
1038,13zTxDKSGvP8zHr4R1b2bCmJaMPg9a1X7U6LSnkeLEdWSvtB,100.0
1038,15GYPHUHLESSy6VwvNZdyqrVDn7mNYVvNj2vXXbLm26AKbYv,100.0
1038,15QbBVsKoTnshpY7tvntziYYSTD2FyUR15xPiMdpkpJDUygh,8.0
1038,13wxjPuajyJrHcBabsgoD7oqL1mJhFVWjeXFxEvMbSBY9xn9,100.0
1038,17bR6rzVsVrzVJS1hM4dSJU43z2MUmz7ZDpPLh8y2fqVg7m,100.0
1038,16P6nQ6oigiaVm3GwvSLsNgDhmVpy23YRU5TiRPeQGShjRsi,40.0
1038,16Ma3suDhT8TkTWffpPaS8sMFn2K6rEqddVJY4QCCUSj2J5J,1.0
1038,12bUkY5nrGyoXqBpxKDf88z5VQWzaUK83PCgyHtJ1UN1ujjU,40.0
1038,1KmtAWkiVGRdMB9mBV6JVAcRw7ce8tZKY3L5ZH7uTNK4yMx,100.0
1038,16fish7rrBhVnkmfQuiKUaPZGm8AiK2oGGJoTwrL4keeHbbe,4.0
1038,123VugBRFMqUEFviSYrG3ewdZ46ZmqxjmRaGY6BvakfdPVaG,3.0
1038,14zoBYVu4yy2Uatp1oLBYbwwUYdzbSFVTf2kKSrCUmkEcCLs,100.0
1038,13TBraYSRLejaxxMqAYFQ87RNPoCy3c4LTE3Y7FKq4qcFEqf,3.0
1038,15PcFYqF2HeLbgChHPCpGEz7K9ShVMjGypKWoHZW494xjjBf,100.0
1038,14dffMjf4Ec1RwCLHp21CifU6CX4hVnZtRCKgc6AGCt9K4v9,3.0
1038,14AbuiHSAJZLTacXnckSXq4CisK9X112ZT48x9uvJPxKXBmg,12.0
1038,12iqwZGB2sguEhjFi2ZRuWWixU8mHJnSiP1pwDefqGsBy4rV,5.0
1038,15MUBwP6dyVw5CXF9PjSSv7SdXQuDSwjX86v1kBodCSWVR7c,5.0
1038,1iyDF3iHuNjTNuQS7XEqMSdvx4CrdaxK6kLhpMCBc9rKumm,3.0
1038,1h2JtSy1YkzGyx2jPYt2Nk27AckAs74sSSHMcBFZneVzc8T,100.0
1038,19K3AKAkcrVWcXrXCXJ1fbaySuo58kUXhpsh7gBpa6emdgz,100.0
1038,15VbT8Zi4qC6iPfwobT9gQGFp3H7shdh2o6LouJ6o2w57qzp,100.0
1038,15JmHuEEGoQNrgF3xfSiEkBjq6Bn1wQFa8yepjyGvR9g1Bgg,100.0
