date,metric_name,chain_name,sum_of_usdt
2023-02-15,sum of usdt,statemint,7998764.144702
2023-02-14,sum of usdt,statemine,3499917.570883
2023-02-14,sum of usdt,statemint,7998764.144702
2023-02-13,sum of usdt,statemine,3499917.570883
2023-02-13,sum of usdt,statemint,7998764.144702
2023-02-12,sum of usdt,statemine,3499917.570883
2023-02-12,sum of usdt,statemint,7998764.144702
2023-02-11,sum of usdt,statemine,3499917.570883
2023-02-11,sum of usdt,statemint,7998764.144702
2023-02-10,sum of usdt,statemine,3499917.570883
2023-02-10,sum of usdt,statemint,7998764.144702
2023-02-09,sum of usdt,statemine,3499917.570883
2023-02-09,sum of usdt,statemint,7998764.144702
2023-02-08,sum of usdt,statemine,3499917.570883
2023-02-08,sum of usdt,statemint,7998764.144702
2023-02-07,sum of usdt,statemine,3499917.570883
2023-02-07,sum of usdt,statemint,7998765.344702
2023-02-06,sum of usdt,statemine,3499917.570883
2023-02-06,sum of usdt,statemint,7998765.344702
2023-02-05,sum of usdt,statemine,3499917.570883
2023-02-05,sum of usdt,statemint,7998765.344702
2023-02-04,sum of usdt,statemine,3499998.629
2023-02-04,sum of usdt,statemint,7998765.344702
2023-02-03,sum of usdt,statemine,3499998.629
2023-02-03,sum of usdt,statemint,7998765.344702
2023-02-02,sum of usdt,statemine,3499999.229
2023-02-02,sum of usdt,statemint,7998765.344702
2023-02-01,sum of usdt,statemine,3499999.229
2023-02-01,sum of usdt,statemint,7998765.344702
2023-01-31,sum of usdt,statemine,3499999.229
2023-01-31,sum of usdt,statemint,7998765.344702
2023-01-30,sum of usdt,statemine,3499432.822509
2023-01-30,sum of usdt,statemint,7998765.344702
2023-01-29,sum of usdt,statemine,3499432.822509
2023-01-29,sum of usdt,statemint,7998765.344702
2023-01-28,sum of usdt,statemine,3499432.822509
2023-01-28,sum of usdt,statemint,7998765.344702
2023-01-27,sum of usdt,statemine,3499432.822509
2023-01-27,sum of usdt,statemint,7998765.344702
2023-01-26,sum of usdt,statemine,3499432.822509
2023-01-26,sum of usdt,statemint,7998765.344702
2023-01-25,sum of usdt,statemine,3499432.822509
2023-01-25,sum of usdt,statemint,7998765.344702
2023-01-24,sum of usdt,statemine,3499432.822509
2023-01-24,sum of usdt,statemint,7998765.344702
2023-01-23,sum of usdt,statemine,3499432.822509
2023-01-23,sum of usdt,statemint,7998765.344702
2023-01-22,sum of usdt,statemine,3499432.822509
2023-01-22,sum of usdt,statemint,7998765.344702
2023-01-21,sum of usdt,statemine,3499432.822509
2023-01-21,sum of usdt,statemint,7998765.344702
2023-01-20,sum of usdt,statemine,3499432.822509
2023-01-20,sum of usdt,statemint,7998765.344702
2023-01-19,sum of usdt,statemine,3499432.822509
2023-01-19,sum of usdt,statemint,7998765.344702
2023-01-18,sum of usdt,statemine,3499432.822509
2023-01-18,sum of usdt,statemint,7998765.344702
2023-01-17,sum of usdt,statemine,3499433.072509
2023-01-17,sum of usdt,statemint,7998766.044702
2023-01-16,sum of usdt,statemine,3499433.072509
2023-01-16,sum of usdt,statemint,7998767.694702
2023-01-15,sum of usdt,statemine,3495609.635117
2023-01-15,sum of usdt,statemint,7998767.694702
2023-01-14,sum of usdt,statemine,3495671.783425
2023-01-14,sum of usdt,statemint,7998767.694702
2023-01-13,sum of usdt,statemine,3495808.155075
2023-01-13,sum of usdt,statemint,7998767.694702
2023-01-12,sum of usdt,statemine,3496176.041608
2023-01-12,sum of usdt,statemint,7998767.694702
2023-01-11,sum of usdt,statemine,3496308.241608
2023-01-11,sum of usdt,statemint,7998767.694702
2023-01-10,sum of usdt,statemine,3499999.679
2023-01-10,sum of usdt,statemint,7998767.994702
2023-01-09,sum of usdt,statemine,3499999.679
2023-01-09,sum of usdt,statemint,7998767.994702
2023-01-08,sum of usdt,statemine,3499999.679
2023-01-08,sum of usdt,statemint,7998767.994702
2023-01-07,sum of usdt,statemine,3499999.679
